SITE_NAME,AVG_DAILY_CONSUMPTION
0001BB,6.607%
0001BR,5.049%
0001KO,10.447%
0002BB,6.684%
0002BR,8.402%
0002KO,6.963%
0003BB,9.661%
0003BR,5.673%
0003KO,8.532%
0004BB,21.610%
0004BR,7.154%
0004KO,7.849%
0005KO,7.863%
0006BB,10.602%
0006BR,6.231%
0007BB,18.990%
0007BR,15.520%
0007KO,8.233%
0008BB,3.727%
0008BR,4.444%
0008KO,6.203%
0009BB,6.799%
0009BR,5.571%
0009KO,6.648%
0010BB,7.062%
0010BR,6.237%
0010KO,6.205%
0011BB,12.086%
0011BR,7.240%
0011KO,6.678%
0012BB,8.277%
0012BR,8.279%
0012KO,9.311%
0013BB,4.145%
0013BR,8.289%
0013KO,9.035%
0014BR,3.565%
0014KO,8.737%
0015BB,6.345%
0015BR,2.570%
0015KO,13.800%
0016BB,16.251%
0016BR,12.103%
0016KO,10.535%
0017BB,6.439%
0017BR,12.303%
0017KO,15.113%
0018BB,5.557%
0018BR,9.289%
0018KO,6.357%
0019BB,6.309%
0019BR,4.612%
0019KO,14.420%
0020BB,2.465%
0020BR,9.027%
0020KO,5.801%
0021BB,1.924%
0021BR,12.586%
0021KO,6.619%
0022BB,7.269%
0022BR,8.515%
0022KO,11.077%
0023BB,7.557%
0023BR,8.015%
0023KO,13.284%
0024BB,3.923%
0024BR,3.502%
0024KO,13.745%
0025BB,7.599%
0025BR,5.648%
0025KO,3.967%
0026BB,11.342%
0026BR,9.208%
0026KO,7.673%
0027BR,7.755%
0027KO,11.599%
0028BB,16.666%
0028KO,9.729%
0029BB,6.903%
0029BR,6.366%
0029KO,9.651%
0030BB,6.735%
0030BR,9.466%
0030KO,28.410%
0031BB,6.821%
0031BR,4.845%
0031KO,15.347%
0032BB,16.375%
0032BR,7.587%
0032KO,9.972%
0033BB,8.932%
0033BR,6.978%
0033KO,14.783%
0034BB,11.672%
0034BR,10.249%
0034KO,7.733%
0035BB,22.531%
0035BR,5.806%
0035KO,8.246%
0036BB,16.867%
0036BR,6.826%
0036KO,7.835%
0037BB,3.623%
0037BR,56.255%
0037KO,4.141%
0038BB,28.936%
0038BR,7.147%
0038KO,5.228%
0039BB,0.836%
0039BR,10.353%
0039KO,11.507%
0040BB,4.661%
0040BR,5.618%
0040KO,8.172%
0041BR,6.369%
0041KO,11.762%
0042BB,1.127%
0042BR,5.289%
0042KO,3.276%
0043BB,11.813%
0043BR,0.694%
0043KO,14.705%
0044BB,12.739%
0044BR,4.798%
0044KO,10.640%
0045BB,21.057%
0045BR,11.870%
0045KO,16.711%
0046BB,1.969%
0046BR,7.459%
0046KO,6.384%
0047BB,21.809%
0047BR,4.934%
0047KO,4.170%
0048BB,12.387%
0048BR,11.869%
0048KO,0.973%
0049BB,9.142%
0049BR,20.312%
0050BR,15.527%
0050KO,23.878%
0051BB,4.486%
0051BR,6.828%
0051KO,29.369%
0052BR,9.347%
0052KO,7.927%
0053BB,5.176%
0053BR,7.147%
0053KO,7.171%
0054BB,7.918%
0054BR,7.112%
0054KO,11.811%
0055BR,10.285%
0055KO,8.045%
0056BB,101.218%
0056BR,5.643%
0056KO,3.697%
0057BR,6.800%
0057KO,6.540%
0058BR,36.613%
0058KO,14.420%
0059BR,7.106%
0059KO,13.251%
0060BB,4.641%
0060BR,6.060%
0060KO,3.019%
0061BB,6.765%
0061BR,1.411%
0061KO,10.146%
0062BB,3.117%
0062BR,4.053%
0062KO,8.603%
0063BB,10.446%
0063BR,8.570%
0063KO,2.773%
0064BB,10.170%
0064BR,1.868%
0064KO,3.766%
0065BB,6.380%
0065BR,16.378%
0066BB,4.511%
0066BR,4.706%
0067BB,1.406%
0067BR,14.481%
0068BB,1.112%
0068BR,22.776%
0069BB,3.819%
0069BR,1.411%
0070BB,16.871%
0070BR,4.332%
0070KO,5.016%
0071BB,25.083%
0071BR,28.358%
0071KO,2.679%
0072BB,7.124%
0072BR,12.670%
0072KO,8.008%
0073BB,16.924%
0073BR,8.474%
0073KO,13.981%
0074BB,2.636%
0074BR,16.496%
0074KO,49.728%
0075BB,0.000%
0075BR,6.242%
0076BB,0.752%
0076BR,26.903%
0076KO,7.603%
0077BB,8.485%
0077BR,10.034%
0077KO,4.690%
0078BB,23.343%
0078BR,8.111%
0078KO,9.300%
0079BB,1.991%
